"_id","Код","Тип","CR","CR2","Описание","Дополнительная информация","Приоритет","Спринт","Номер фикса","Очередь разработчика","Очередь тестировщика","Плановая дата окончания работ","Вошло в сборку","Jira done","JIRA","Потребитель","Поставщик","Статус паспорта","Оценка на анализ","Оценка на разработку","Оценка на тестирование","Аналитик","Дата паспорта","Статус разработки","Дата разработки","Разработчик","Задача разработчика в JIRA","Статус тестирования","Дата тестирования","Примечания по тестированию","Статус разработки скрипта","Автор скрипта","Тестировщик","Группа тестов","Тестовое покрытие","Статус бизнес сервиса","WSDL url","Cервис"
"64ed07ff-c97f-4be0-82b3-bd6f3d86b1bb","TS012","Сервис","","","Перекодировка значения по справочнику",,"",0,,,,,,,"TEX","ДБО","AppDB","Внутренний ",,,,"Тоня","","Готово","","","","Готово",,"","","","","","rfhUtil","","очередь","getDictionaryValue"
"72451b18-c43a-436c-beea-6934f00f40c2","BS150","Cancel","","","Реализация канала доставки PIN email+IB/MB",,"","",,,,,,,"DEV-399","","","отменен заказчиком в JIRA",,,,"Ира","","","","","","Отменен",,"","","","","","","",,
"4631662a-7907-4bcd-8777-04b83ff3dff2","BS137","Сервис","","","Отключить/Подключить страховку подключение/отключение Защиты карты/Защиты кредита- выпуск/продление полиса- пересылка полиса по email/в бумажном виде курьером",,"","",,,,,,,"DEV-971","","","",,,,"Влада","","","","","","",,"","","","","","","",,
"fec3b17e-ea72-4b10-bf8d-8cc6be88d8d8","BS072","Доработка","CR058","","Передача swift-платежей из Инверсии в ЦФТ",,"Критично",14,,,,,,,"DEV-973","CFT","АБС","Согласовано",,,,"Тоня","2015-06-01T00:00:00.000Z","Готово","2014-01-09T00:00:00.000Z","Котенко Игорь","","Заблокировано",,"Инверсия пока не доработала SWIFT","Готово","Комовникова","Беззубов","","scheduler","","очередь",
"6ee1023e-8c7b-4e3b-b79b-ab54ec327837","BS020","Cancel","","","Создание клиента, карты, счета, договора в ПЦ из БП",,"",5,,,,,,,"DEV-159","BPM","AppDB, ПЦ","Согласовано",,,,"Влада","","Готово","","Юра","","Готово",,"","","","","Financials","","","http://m018esb-st:7800/AdpBPMOutSync","makeIntegrationRequest"
"5a16ea1d-d900-4892-8ca2-aef5986e4b10","BS061","Доработка","","","Запрос данных для ПДП",,"Критично",13,,,,,,,"","ДБО","АБС","Согласовано",,,,"Юля","2014-12-17T00:00:00.000Z","Готово","2014-12-19T00:00:00.000Z","Дубинина Н.","","Готово",,"","","","Данченко","","Покрыто в CR","","http://m018esb-st:7802/nova/adpcrmoutsync И http://m018esb-st:7803/AdpISimpleOutSync/AdpISimpleOutSync И очередь","CreditList И getCreditLoans"
"2a1880af-9422-4ddd-8f73-176017f062b4","BS072","Доработка","CR175","Релизная","Добавить параметры, необходимые для Инкассовых поручений и платежных требования","","1",20,"sprint18_v1","1",,,,"Jira done","DEV-2524",,,"Согласовано",,,,"Даша",,"Готово",,"Черноляс С.","https://jira.neoflex.ru/browse/OTPSOAOUTIXDEV-328","",,,"Готово","Киршина","",,"scheduler","Сделан",,"unloadTransfersToOTP"
"e51beec1-8009-47d3-be09-e1cfcdf2ca1b","TS144","Доработка","CR186","Неплановая","Изменение вычисления статуса ""На маршруте""","17 + 18 +текущая(20) ветка",,20,"sprint20_v1",,,,,,"DEV-2568",,,"Согласовано",,,,"Ира",,"Готово",,"Черноляс С.","https://jira.neoflex.ru/browse/OTPSOAOUTIXDEV-338","Готово",,,"Готово","Беззубов","Беззубов",,,,,
"555f2e0e2bf7ee0005140ac1","BS241, BS239","Доработка","CR210","Неплановая",,,,20,"sprint20_v1",,,,,,"DEV-2572",,,,,,,,,,,,,,,,,,,,,,,
"7267d2f4-efc8-494d-ad7f-5be01f34c580","BS035","Cancel","","","Установка ПИН-кода (выносить на golive 100%)",,"","",,,,,,,"DEV-141","IVR, ДБО","ПЦ","ОТМЕНЁН",,,,"Тоня","","","","","","Отменен",,"","","","","Client Interation","","",,
"0a8b7a65-6baa-4b43-94a4-534c369c57a0","BS110","Сервис","","","Отправка одиночного e-mail сообщения",,"Критично",12,,,,,,,"DEV-343","ДБО","Expert Sender ","Согласовано",,,,"Настя","","Готово","2014-12-05T00:00:00.000Z","Котенко Игорь","","Готово",,"","Готово","Беззубов","Кортава","","Есть в SoupUI проекте","","http://m018esb-st:7800/NotificationIntegrationService","sendMessage"
"6c871ac4-105e-4be4-a867-9060ea02296e","BS052","Cancel","","","Открытие ссудных счетов по овердрафту или ПК",,"Критично",8,,,,,,,"","АБС","","Отменен. ",,,,"","","","","","","Отменен",,"","","","","Financials","","",,
"2bd8f1dd-c7a5-45d8-a365-78b675a5cf7b","BS069","Cancel","","","Получение Statement Day день выписки) от FICO и передача в АБС для расчета дат платежей",,"","",,,,,,,"DEV-59","","","отменен",,,,"Ира","","","","","","Отменен",,"","","","","","","",,
"4eb2499a-7e73-4863-a526-6259481bc5a5","BS105","Доработка","CR072","","[ESB] Массовая рассылка уведомлений через email шлюз",,"",16,,,,,,,"DEV-501","ESB","ExpertSende, CommunicationDB","Согласовано",,,,"Настя","2015-01-29T00:00:00.000Z","Готово","2015-03-13T00:00:00.000Z","Волобоев П.","","Готово",,"","Готово","Киршина","Данченко","","scheduler","","scheduler (SFTP)","sendMassMail"
"df678e6e-6362-4f75-a6cc-ac5f03b8f829","BS095","Cancel","","","Проверка номера счета при сохранении шаблона",,"Критично","",,,,,,,"","ДБО","АБС","Согласовано",,,,"","","","","","","Отменен",,"","","","","","","",,
"a9412f83-7a82-4e13-a101-7820c0395d65","BS014","Сервис","","","Поиск компаний в SPARK",,"",6,,,,,,,"DEV-553, DEV-544","CRM ","SPARK","Согласовано",,,,"Влада","","Готово","","","","Готово",,"","","","","Client Interation","Есть в SoupUI проекте","","http://m018esb-st:7802/nova/adpcrmoutsync","searchCompany"
"ecd2bd82-6a66-460f-85e0-118f2a38c62a","BS081","Cancel","","","Сервис получения статуса документа из АБС (переводы) для ДБО и CRM",,"Критично","",,,,,,,"","ДБО, CRM","АБС","Дубликат BS75",,,,"","","","","","","Отменен",,"","","","","","","",,
"9a3da9b3-ed05-40c0-a82e-7664ba5f5146","BS155","Сервис","","","Управление баллами: списание при просрочке, холдирование и т.д.",,"",25,,,,,,,"DEV-976","","","Нет спецификаций",,,,"Тоня","","","","","","Не передан в тестирование",,"","","","","","","",,
"55ad9f78-30c5-4d88-875b-8ce84b49205b","BS222","Сервис","","","Дешифрование файла Крипто-Про",,"Критично",16,,,,,,,"DEV-1856, DEV-139","FileNet, ESB","Крипто-Про","Согласовано",,,,"Ира","2015-02-12T00:00:00.000Z","Готово","2015-02-16T00:00:00.000Z","Матвеев В.","","Готово",,"","","","Данченко","","Есть в SoupUI проекте","","http://m191jcp:8080/CryptoServiceWEB/services/CryptoServiceSOAP","decryptRq"
"cc5e4a40-9bb3-4577-952e-ff7647f4abc1","BS022","Доработка","CR061","","Сохранение в AppDB поля taskID",,"Критично",17,,,,,,,"DEV-1941","","","Согласовано",,,,"Влада","2015-02-12T00:00:00.000Z","Готово","2015-02-13T00:00:00.000Z","Доржинов П.","https://jira.neoflex.ru/browse/OTPSOACRIIIDEV-137","Готово",,"","Готово","Комовникова","Комовникова","","Есть в SoupUI проекте","","http://m018esb-st:7802/nova/adpcrmoutsync","saveVerificationChecks"
"9b88a9ef-1691-4554-8d8b-13dbab8a5106","BS096","Сервис","","","Запрос на выпуск дополнительной карты",,"","",,,,,,,"DEV-145","CRM","АБС","ОТЛОЖЕН, БАНК",,,,"Влада","","","","","","",,"","","","","","","",,
